# Trait Facts Menue-Prueflauf, Mess-Mod 6.40.4, Trait Facts 0.12.12, Spiel 42.20.4 b0bbce05d5
# klick|art|id|urteil|was; zufall|nr|urteil|code|was; tooltip|liste|id|breite|hoehe|urteil; pruef|name|urteil|was
zufall|100|ok|TF=6L2OAkgEpAeq[moreTraitsDefinitive#3799050151]XJ7FjyPESCj8jus|
pruef|tooltips-listboxTrait|ok|119 Tooltips, 0 passen nicht in 1920x1080
pruef|tooltips-listboxBadTrait|ok|58 Tooltips, 0 passen nicht in 1920x1080
pruef|tooltips-listboxProf|ok|25 Tooltips, 0 passen nicht in 1920x1080
pruef|controller-fokus|ok|Fokus auf toadtraits:preparedammo: das Panel zeigt seinen Block
pruef|controller-zurueck|ok|ohne Fokus wieder die Uebersicht
pruef|controller-ohne-fehler|ok|nichts abgefangen
wert|hoechster-tooltip|toadtraits:specfood|438x500
wert|breitester-tooltip|toadtraits:batteringram|883x196
wert|laengster-build-code|63 Zeichen
hinweis|einseitiger-ausschluss|3|toadtraits:idealweight gegen base:underweight; toadtraits:olympian gegen base:jogger; toadtraits:quiet gegen base:clumsy
pruef|startskills-spalten|ok|25 Berufe mit Startskills geprueft, bei 0 liegt ein Name ueber der Herkunft
wert|gekuerzte-skillnamen|0|
wert|umgebung|sprache=EN|schrift=1|fenster=1920x1080|quelle=workshop-paket
ende|fertig|202 Klicks, 100 Zufalls-Builds, 338 ok, 0 FEHL
