[faelle] fall|seite|stoesse|lang|kurz|umgeworfen|anderes|anteil_lang|erwartet_lang|urteil|hitforce_mittel|hitforce_min|hitforce_max|weg_lang_m|weg_kurz_m|krit_wurf|clips|erwartet_ohne_kleidung|taumel_ticks_lang|taumel_ticks_kurz
stoss|53|ohne|vorn|0.658|0.323|0.215|0.215|0.120-0.532|0.188|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.600|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.496|0.600|74|0.00,0.00,0.04,0.11,0.22,0.32,0.44,0.56
stoss|54|ohne|vorn|0.664|0.328|0.220|0.220|0.121-0.537|0.195|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.584|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.509|0.584|69|0.00,0.00,0.03,0.13,0.25,0.38,0.49
stoss|55|ohne|vorn|0.660|0.229|0.153|0.153|0.120-0.533|0.190|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.599|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.500|0.599|68|0.00,0.01,0.06,0.19,0.30,0.41,0.51
stoss|56|strong|vorn|0.661|0.434|0.405|0.405|0.168-0.748|0.422|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.659|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.659|72|0.00,0.01,0.05,0.14,0.27,0.41,0.52,0.64
stoss|57|strong|vorn|0.665|0.271|0.254|0.254|0.169-0.752|0.426|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.593|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.937|0.593|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.48,0.59
stoss|58|strong|vorn|0.665|0.455|0.428|0.428|0.169-0.752|0.426|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.661|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.937|0.661|79|0.00,0.00,0.04,0.11,0.24,0.36,0.48,0.58
stoss|59|strong|vorn|0.664|0.494|0.464|0.464|0.169-0.751|0.425|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.655|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.935|0.655|76|0.00,0.00,0.04,0.14,0.26,0.39,0.50,0.60
stoss|60|strong|vorn|0.660|0.354|0.330|0.330|0.168-0.747|0.421|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.584|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.929|0.584|76|0.00,0.00,0.02,0.08,0.17,0.28,0.38,0.49
stoss|61|weak|vorn|0.662|0.294|0.118|0.118|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.587|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.587|77|0.00,0.00,0.02,0.09,0.19,0.29,0.40,0.50
stoss|62|weak|vorn|0.666|0.648|0.261|0.261|0.073-0.323|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.591|80|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.59
stoss|63|weak|vorn|0.665|0.606|0.244|0.244|0.073-0.322|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.586|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.586|80|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.48,0.59
stoss|64|weak|vorn|0.660|0.437|0.175|0.175|0.072-0.320|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.592|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.592|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|65|weak|vorn|0.664|0.779|0.314|0.314|0.072-0.322|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.587|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.587|71|0.00,0.00,0.03,0.10,0.23,0.35,0.47,0.57
stoss|66|ohne|vorn|0.666|0.285|0.192|0.192|0.121-0.538|0.197|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.586|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.514|0.586|80|0.00,0.00,0.03,0.08,0.17,0.27,0.38,0.49,0.59
stoss|67|ohne|vorn|0.667|0.424|0.285|0.285|0.121-0.539|0.198|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.516|0.595|75|0.00,0.00,0.03,0.10,0.22,0.33,0.44,0.55
stoss|68|ohne|vorn|0.667|0.541|0.365|0.365|0.121-0.539|0.198|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.586|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.516|0.586|79|0.00,0.00,0.03,0.09,0.18,0.28,0.39,0.50
stoss|69|ohne|vorn|0.661|0.338|0.226|0.226|0.120-0.534|0.191|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.503|0.590|74|0.00,0.00,0.03,0.08,0.17,0.28,0.41,0.54
stoss|70|ohne|vorn|0.665|0.222|0.149|0.149|0.121-0.537|0.196|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.592|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.511|0.592|81|0.00,0.00,0.02,0.08,0.16,0.27,0.37,0.48,0.58
stoss|71|strong|vorn|0.666|0.254|0.239|0.239|0.170-0.753|0.427|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.601|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.938|0.601|78|0.00,0.00,0.03,0.11,0.20,0.31,0.41,0.52
stoss|72|strong|vorn|0.666|0.456|0.429|0.429|0.170-0.753|0.427|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.665|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.938|0.665|55|0.00,0.00,0.03,0.33,0.53,0.62
stoss|73|strong|vorn|0.666|0.239|0.225|0.225|0.170-0.753|0.427|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.585|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.938|0.585|78|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.50
